pk_clientes;pk_localidade;pk_tempo;Valor de Venda;Quantidade
9f7b99f99e1b9f61b9733b098426c006cd9128f339fbbdc738dc4ebc1e9ff57b;a9a70ae1252d8a8cdd3e3bdebacf8c0cbba9ca46db7eb3eb6abaca8dd31ada95;03eacaf2252377c38d336433400bdcc1dbf88dcbec785b8d9bbc56f6c5ac867b;403,31;1
a7f436434b9d5118984ab7a42f44bc25b99bcacb2132e30fa51a669886bf666f;9bbbe8a50c6dcd3d0849a1c7fe85b4db4fd0e046b3c07dedec843c32b2212cc7;bf893cef4206177e3d220d38c65187dd4ff3f0d055a9aa38f612c319045e0763;802,91;1
b6e72571f6e6cbf98c1d6f757f6a5c4da412ea0effa138d990bae56cb2f3557c;df303fe5be506f2c17d6af2f5b80933bd7dbe09b9355ae28476f1725c505c89b;d00772525afa7762e01cda7d796fa5688c51b041c755159e2fbfc8893a566f36;21248,57;141
9cc5af2243cee26c21ce28f16f216d0aa79ea314d714afb692bdbf443b4b0d89;13688c933869b9f62b1b689fb864b0f837cfde293e6f134e25459726ff61132b;b5590fab236240e969c6bc965a39fac596a7adfa9bb39e105038508d01fe8d07;693,51;1
2f29d0c9adbf983e8ea5ce73af8fda63005256e71b03dacc51df1040ff4ad568;2e76664445260d9e742f5438ff5c788d38ed9624693f6fb1017924d1d65d473e;805e2a467f895a33a787b9af40a68785814602024d030310c67bb920d381af8f;683,78;1
fada449389eaf792818dfc64e364a3dd612fc4022e704f9337b6053ff49a4e66;a9e752121512afa2321fba66782a6a76fd8c1d6ff24afd61b94878c986140fd2;cdfd7199a10086017c72159c8b9c2f88d3acb055cb16dcfe7e959de96ef1a623;1775,72;2
8e5294a77fb70f28a56615fe1c561fa85441d059a224e3d5796c39de638dd6ce;2102d3abeb0cbd65ca0887456be239284e9027e52d02b575c1b15d067948b1e3;80c98f0a87d5e328453dd5b4a9a251beba11e9ee9e1d7f12ddbb54859d44dc5d;1909,72;8
ecb841172b0113cc45f947ba783e4dbff35e981239d36c3848fcba480447e6ed;a0fd5a629985573a9f8cf6e2633ca34115ec1edf867c079d6c3c09a93b55924f;f6224029e68d507ecf5d031c5aa4005c9191899bb99c6d25c6e7c802bc202362;211,14;2
ecb841172b0113cc45f947ba783e4dbff35e981239d36c3848fcba480447e6ed;a0fd5a629985573a9f8cf6e2633ca34115ec1edf867c079d6c3c09a93b55924f;b275ceab863c63636f16365c55e042ef0cd4136fa48e1b4f81f243a5e4029d31;534,4;1
0c949796b8c190656503d20702796ae3d76c40db455e432642d14ef3fbc9c5a8;cd9b26a2a3c9ee158aaa0e268f66ddc1976fc2c56f720ed41f5d13a720353d75;fd554b0cfea8c4c6f46251e599500c0759a5db9e0cec3380ef4a453ca31645e7;318,53;3
